run_id,source_run_id,model,suite,quant_label,n,acc_f16,acc_quant,delta,ci_lo,ci_hi,p_mcnemar,b_lost,c_gained,truncated_f16,truncated_quant,state,seed_rule
0b-llama-8b-ladder,0b2-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q5_K_M,500,0.314000,0.322000,0.008000,-0.008000,0.024000,0.480682,7,11,4,2,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,0b2-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q4_K_M,500,0.314000,0.294000,-0.020000,-0.040000,0.000000,0.087159,19,9,4,2,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,0b2-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q3_K_M,500,0.314000,0.264000,-0.050000,-0.078000,-0.022000,0.000470,37,12,4,3,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,0b2-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q2_K,500,0.314000,0.158000,-0.156000,-0.192000,-0.122000,0.000000,85,7,4,2,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,0b2-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,IQ2_M,500,0.314000,0.198000,-0.116000,-0.152000,-0.082000,0.000000,73,15,4,6,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q8_0,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,2,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q6_K,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q5_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,2,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q4_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q3_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,7,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q2_K,96,1.000000,0.968750,-0.031250,-0.072917,0.000000,0.250000,3,0,2,15,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,IQ2_M,96,1.000000,0.937500,-0.062500,-0.114583,-0.020833,0.031250,6,0,2,0,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q8_0,500,0.920000,0.920000,0.000000,-0.014000,0.014000,1.000000,6,6,0,0,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q6_K,500,0.920000,0.936000,0.016000,0.000000,0.032000,0.096252,5,13,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q5_K_M,500,0.920000,0.914000,-0.006000,-0.026000,0.014000,0.677639,13,10,0,0,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q4_K_M,500,0.920000,0.914000,-0.006000,-0.024000,0.012000,0.677639,13,10,0,0,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q3_K_M,500,0.920000,0.912000,-0.008000,-0.032000,0.014000,0.617719,20,16,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q2_K,500,0.920000,0.874000,-0.046000,-0.074000,-0.020000,0.001403,36,13,0,1,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,IQ2_M,500,0.920000,0.848000,-0.072000,-0.102000,-0.042000,0.000002,47,11,0,0,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q8_0,94,0.893617,0.893617,0.000000,-0.042553,0.042553,1.000000,2,2,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q6_K,94,0.893617,0.904255,0.010638,-0.031915,0.053191,1.000000,2,3,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q5_K_M,94,0.893617,0.872340,-0.021277,-0.074468,0.031915,0.687500,4,2,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q4_K_M,94,0.893617,0.904255,0.010638,-0.053191,0.074468,1.000000,4,5,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q3_K_M,94,0.893617,0.914894,0.021277,-0.031915,0.085106,0.726562,3,5,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q2_K,94,0.893617,0.861702,-0.031915,-0.106383,0.031915,0.548828,7,4,0,2,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,IQ2_M,94,0.893617,0.819149,-0.074468,-0.148936,0.000000,0.092285,10,3,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q8_0,500,0.192000,0.194000,0.002000,-0.004000,0.010000,1.000000,1,2,3,4,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q6_K,500,0.192000,0.186000,-0.006000,-0.018000,0.006000,0.507812,6,3,3,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q5_K_M,500,0.192000,0.186000,-0.006000,-0.016000,0.002000,0.375000,4,1,3,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q4_K_M,500,0.192000,0.176000,-0.016000,-0.032000,0.000000,0.076813,12,4,3,5,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q3_K_M,500,0.192000,0.166000,-0.026000,-0.048000,-0.006000,0.024120,21,8,3,5,small_real_loss,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q2_K,500,0.192000,0.154000,-0.038000,-0.062000,-0.014000,0.002563,28,9,3,2,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,0b2-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,IQ2_M,500,0.192000,0.124000,-0.068000,-0.094000,-0.044000,0.000000,38,4,3,0,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
