run_id,model,suite,quant_label,n,acc_f16,acc_quant,delta,ci_lo,ci_hi,p_mcnemar,b_lost,c_gained,truncated_f16,truncated_quant,state,seed_rule
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q2_K,500,0.220000,0.116000,-0.104000,-0.136000,-0.074000,0.000000,60,8,1,0,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,IQ2_M,500,0.220000,0.130000,-0.090000,-0.120000,-0.060000,0.000000,54,9,1,7,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q8_0,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q6_K,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q5_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q4_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q3_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,7,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,Q2_K,96,1.000000,0.968750,-0.031250,-0.072917,0.000000,0.250000,3,0,2,15,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,longctx_retrieval,IQ2_M,96,1.000000,0.937500,-0.062500,-0.114583,-0.020833,0.031250,6,0,2,0,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q8_0,500,0.920000,0.920000,0.000000,-0.014000,0.014000,1.000000,6,6,0,0,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q6_K,500,0.920000,0.936000,0.016000,0.000000,0.034000,0.096252,5,13,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q5_K_M,500,0.920000,0.914000,-0.006000,-0.024000,0.012000,0.677639,13,10,0,0,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q4_K_M,500,0.920000,0.914000,-0.006000,-0.026000,0.012000,0.677639,13,10,0,0,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q3_K_M,500,0.920000,0.912000,-0.008000,-0.032000,0.016000,0.617719,20,16,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,Q2_K,500,0.920000,0.874000,-0.046000,-0.074000,-0.020000,0.001403,36,13,0,1,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic,IQ2_M,500,0.920000,0.848000,-0.072000,-0.102000,-0.042000,0.000002,47,11,0,0,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q8_0,94,0.893617,0.893617,0.000000,-0.042553,0.042553,1.000000,2,2,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q6_K,94,0.893617,0.904255,0.010638,-0.031915,0.063830,1.000000,2,3,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q5_K_M,94,0.893617,0.872340,-0.021277,-0.074468,0.031915,0.687500,4,2,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q4_K_M,94,0.893617,0.904255,0.010638,-0.053191,0.074468,1.000000,4,5,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q3_K_M,94,0.893617,0.914894,0.021277,-0.031915,0.085106,0.726562,3,5,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,Q2_K,94,0.893617,0.861702,-0.031915,-0.106383,0.031915,0.548828,7,4,0,2,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,arithmetic_twins,IQ2_M,94,0.893617,0.819149,-0.074468,-0.148936,0.000000,0.092285,10,3,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q8_0,500,0.144000,0.150000,0.006000,-0.004000,0.016000,0.453125,2,5,7,8,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q6_K,500,0.144000,0.146000,0.002000,-0.006000,0.010000,1.000000,2,3,7,6,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q5_K_M,500,0.144000,0.144000,0.000000,-0.014000,0.014000,1.000000,7,7,7,7,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q4_K_M,500,0.144000,0.146000,0.002000,-0.014000,0.020000,1.000000,9,10,7,8,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q3_K_M,500,0.144000,0.146000,0.002000,-0.014000,0.018000,1.000000,8,9,7,3,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,Q2_K,500,0.144000,0.148000,0.004000,-0.018000,0.026000,0.860050,15,17,7,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-qwen-7b-ladder,qwen2.5-7b-instruct,factual_qa,IQ2_M,500,0.144000,0.110000,-0.034000,-0.056000,-0.012000,0.003327,24,7,7,1,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_i1_Q3_K_M,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_i1_Q4_K_M,96,0.989583,1.000000,0.010417,0.000000,0.031250,1.000000,0,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_static_Q3_K_M,96,0.989583,0.958333,-0.031250,-0.083333,0.010417,0.375000,4,1,0,2,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_static_Q4_K_M,96,0.989583,1.000000,0.010417,0.000000,0.031250,1.000000,0,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,unsloth_Q3_K_M,96,0.989583,0.989583,0.000000,-0.031250,0.031250,1.000000,1,1,0,1,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,unsloth_Q4_K_M,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,1,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_i1_Q3_K_M,500,0.864000,0.832000,-0.032000,-0.066000,0.000000,0.080507,45,29,4,15,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_i1_Q4_K_M,500,0.864000,0.868000,0.004000,-0.028000,0.036000,0.900653,31,33,4,9,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_static_Q3_K_M,500,0.864000,0.832000,-0.032000,-0.062000,0.000000,0.055897,39,23,4,15,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_static_Q4_K_M,500,0.864000,0.868000,0.004000,-0.028000,0.036000,0.900653,31,33,4,8,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,unsloth_Q3_K_M,500,0.864000,0.828000,-0.036000,-0.068000,-0.002000,0.044371,45,27,4,18,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,unsloth_Q4_K_M,500,0.864000,0.868000,0.004000,-0.024000,0.032000,0.887725,24,26,4,4,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_i1_Q3_K_M,94,0.851064,0.744681,-0.106383,-0.191489,-0.021277,0.030884,14,4,2,8,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_i1_Q4_K_M,94,0.851064,0.776596,-0.074468,-0.159574,0.010638,0.143463,12,5,2,1,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_static_Q3_K_M,94,0.851064,0.744681,-0.106383,-0.180851,-0.031915,0.012939,12,2,2,9,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_static_Q4_K_M,94,0.851064,0.829787,-0.021277,-0.085106,0.042553,0.753906,6,4,2,3,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,unsloth_Q3_K_M,94,0.851064,0.840426,-0.010638,-0.095745,0.074468,1.000000,9,8,2,2,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,unsloth_Q4_K_M,94,0.851064,0.851064,0.000000,-0.063830,0.053191,1.000000,4,4,2,2,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_i1_Q3_K_M,500,0.220000,0.176000,-0.044000,-0.068000,-0.020000,0.000313,29,7,1,0,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_i1_Q4_K_M,500,0.220000,0.204000,-0.016000,-0.038000,0.006000,0.200488,19,11,1,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_static_Q3_K_M,500,0.220000,0.164000,-0.056000,-0.082000,-0.032000,0.000015,35,7,1,0,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_static_Q4_K_M,500,0.220000,0.202000,-0.018000,-0.042000,0.006000,0.187742,23,14,1,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,unsloth_Q3_K_M,500,0.220000,0.176000,-0.044000,-0.068000,-0.022000,0.000195,28,6,1,2,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,llama-3.1-8b-instruct,factual_qa,unsloth_Q4_K_M,500,0.220000,0.200000,-0.020000,-0.042000,0.000000,0.087159,19,9,1,4,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,longctx_retrieval,Q3_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,longctx_retrieval,Q4_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,12,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,arithmetic,Q3_K_M,500,0.920000,0.918000,-0.002000,-0.026000,0.020000,1.000000,18,17,0,0,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,arithmetic,Q4_K_M,500,0.920000,0.922000,0.002000,-0.018000,0.022000,1.000000,12,13,0,0,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,arithmetic_twins,Q3_K_M,94,0.893617,0.904255,0.010638,-0.063830,0.085106,1.000000,6,7,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,arithmetic_twins,Q4_K_M,94,0.893617,0.914894,0.021277,-0.031915,0.074468,0.687500,2,4,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,factual_qa,Q3_K_M,500,0.144000,0.144000,0.000000,-0.018000,0.020000,1.000000,12,12,7,4,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,qwen2.5-7b-instruct,factual_qa,Q4_K_M,500,0.144000,0.138000,-0.006000,-0.020000,0.008000,0.581055,8,5,7,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
